--------- beginning of main
05-01 01:42:36.561 12237 12237 E godot   : WARNING: Property not found: 'xr/openxr/extensions/hand_tracking'.
05-01 01:42:36.561 12237 12237 E godot   :    at: get_setting_with_override (core/config/project_settings.cpp:430)
05-01 01:42:36.669 12237 12298 I godot   : Godot Engine v4.6.1.stable.mono.official.14d19694e - https://godotengine.org
05-01 01:42:36.897 12237 12298 I godot   : OpenXR: Created instance for OpenXR 1.1.54
05-01 01:42:36.897 12237 12298 I godot   : OpenXR: Running on OpenXR runtime:  Oculus   201.153.0
05-01 01:42:36.918 12237 12298 I godot   : OpenXR: XrGraphicsRequirementsVulkan2KHR:
05-01 01:42:36.918 12237 12298 I godot   :  - minApiVersionSupported:  1.0.0
05-01 01:42:36.918 12237 12298 I godot   :  - maxApiVersionSupported:  1.2.0
05-01 01:42:36.936 12237 12298 I godot   : VulkanHooks detected (e.g. OpenXR): Force-disabling Swappy Frame Pacing.
05-01 01:42:36.936 12237 12298 I godot   : Vulkan 1.3.295 - Forward Mobile - Using Device #0: Qualcomm - Adreno (TM) 740
05-01 01:42:37.115 12237 12298 I godot   :
05-01 01:42:37.281 12237 12298 I godot   : Supported video codecs:
05-01 01:42:37.281 12237 12298 I godot   :      decode encode mpeg1video
05-01 01:42:37.282 12237 12298 I godot   :        codec: mpeg1_v4l2m2m
05-01 01:42:37.282 12237 12298 I godot   :      decode encode mpeg2video
05-01 01:42:37.282 12237 12298 I godot   :        codec: mpegvideo
05-01 01:42:37.282 12237 12298 I godot   :        codec: mpeg2_v4l2m2m
05-01 01:42:37.282 12237 12298 I godot   :        codec: mpeg2_mediacodec
05-01 01:42:37.282 12237 12298 I godot   :      decode encode h261
05-01 01:42:37.282 12237 12298 I godot   :      decode encode h263
05-01 01:42:37.282 12237 12298 I godot   :        codec: h263_v4l2m2m
05-01 01:42:37.282 12237 12298 I godot   :      decode encode rv10
05-01 01:42:37.282 12237 12298 I godot   :      decode encode rv20
05-01 01:42:37.282 12237 12298 I godot   :      decode encode mjpeg
05-01 01:42:37.282 12237 12298 I godot   :      decode mjpegb
05-01 01:42:37.282 12237 12298 I godot   :      decode sp5x
05-01 01:42:37.282 12237 12298 I godot   :      decode encode jpegls
05-01 01:42:37.282 12237 12298 I godot   :      decode encode mpeg4
05-01 01:42:37.282 12237 12298 I godot   :        codec: mpeg4_v4l2m2m
05-01 01:42:37.282 12237 12298 I godot   :        codec: mpeg4_mediacodec
05-01 01:42:37.282 12237 12298 I godot   :      decode encode rawvideo
05-01 01:42:37.282 12237 12298 I godot   :      decode msmpeg4v1
05-01 01:42:37.282 12237 12298 I godot   :      decode encode msmpeg4v2
05-01 01:42:37.282 12237 12298 I godot   :      decode encode msmpeg4v3
05-01 01:42:37.282 12237 12298 I godot   :        codec: msmpeg4
05-01 01:42:37.282 12237 12298 I godot   :      decode encode wmv1
05-01 01:42:37.282 12237 12298 I godot   :      decode encode wmv2
05-01 01:42:37.282 12237 12298 I godot   :      decode encode h263p
05-01 01:42:37.282 12237 12298 I godot   :      decode h263i
05-01 01:42:37.282 12237 12298 I godot   :      decode encode flv1
05-01 01:42:37.282 12237 12298 I godot   :        codec: flv
05-01 01:42:37.282 12237 12298 I godot   :      decode encode svq1
05-01 01:42:37.282 12237 12298 I godot   :      decode svq3
05-01 01:42:37.283 12237 12298 I godot   :      decode encode dvvideo
05-01 01:42:37.283 12237 12298 I godot   :      decode encode huffyuv
05-01 01:42:37.283 12237 12298 I godot   :      decode cyuv
05-01 01:42:37.283 12237 12298 I godot   :      decode encode h264
